INFO: Epochs:275 -- Batch size:480 
Epoc: 1Epoch: 0 
Batch: 1 <--> Loss: 0.33456507325172424 
Batch: 2 <--> Loss: 0.301603227853775 
Batch: 3 <--> Loss: 0.2780269980430603 
Batch: 4 <--> Loss: 0.2744891941547394 
Batch: 5 <--> Loss: 0.2511849105358124 
Batch: 6 <--> Loss: 0.2432200163602829 
Batch: 7 <--> Loss: 0.2433517575263977 
Batch: 8 <--> Loss: 0.22388313710689545 
Batch: 9 <--> Loss: 0.21722616255283356 
Batch: 10 <--> Loss: 0.2013980746269226 
Batch: 11 <--> Loss: 0.17730316519737244 
Batch: 12 <--> Loss: 0.17449899017810822 
Batch: 13 <--> Loss: 0.16181032359600067 
Batch: 14 <--> Loss: 0.1659286469221115 
Batch: 15 <--> Loss: 0.16978445649147034 
Batch: 16 <--> Loss: 0.14159543812274933 
Batch: 17 <--> Loss: 0.15240240097045898 
Batch: 18 <--> Loss: 0.13824661076068878 
Batch: 19 <--> Loss: 0.12394449859857559 
Batch: 20 <--> Loss: 0.12964890897274017 
Batch: 21 <--> Loss: 0.1152258962392807 
Batch: 22 <--> Loss: 0.11583179235458374 
Batch: 23 <--> Loss: 0.1127932220697403 
Batch: 24 <--> Loss: 0.1096532866358757 
Batch: 25 <--> Loss: 0.10573706775903702 
Batch: 26 <--> Loss: 0.09271839261054993 
Batch: 27 <--> Loss: 0.09394782781600952 
Batch: 28 <--> Loss: 0.0913398340344429 
Batch: 29 <--> Loss: 0.09212955087423325 
Batch: 30 <--> Loss: 0.09953437745571136 
Batch: 31 <--> Loss: 0.08994186669588089 
Batch: 32 <--> Loss: 0.08125628530979156 
Batch: 33 <--> Loss: 0.08866759389638901 
Batch: 34 <--> Loss: 0.08342797309160233 
Batch: 35 <--> Loss: 0.07415775209665298 
Batch: 36 <--> Loss: 0.08154187351465225 
Batch: 37 <--> Loss: 0.07571720331907272 
Epoc: 2Epoch: 1 
Batch: 1 <--> Loss: 0.07268304377794266 
Batch: 2 <--> Loss: 0.07497477531433105 
Batch: 3 <--> Loss: 0.06885651499032974 
Batch: 4 <--> Loss: 0.07063810527324677 
Batch: 5 <--> Loss: 0.0692821592092514 
Batch: 6 <--> Loss: 0.06745494157075882 
Batch: 7 <--> Loss: 0.06014315411448479 
Batch: 8 <--> Loss: 0.061927299946546555 
Batch: 9 <--> Loss: 0.06206420063972473 
Batch: 10 <--> Loss: 0.06178949028253555 
Batch: 11 <--> Loss: 0.062016695737838745 
Batch: 12 <--> Loss: 0.05881555750966072 
Batch: 13 <--> Loss: 0.06012425571680069 
Batch: 14 <--> Loss: 0.05847403407096863 
Batch: 15 <--> Loss: 0.05566424876451492 
Batch: 16 <--> Loss: 0.059890422970056534 
Batch: 17 <--> Loss: 0.05173852667212486 
Batch: 18 <--> Loss: 0.0562828853726387 
Batch: 19 <--> Loss: 0.051899004727602005 
Batch: 20 <--> Loss: 0.05357782542705536 
Batch: 21 <--> Loss: 0.05542035028338432 
Batch: 22 <--> Loss: 0.05492115020751953 
Batch: 23 <--> Loss: 0.054448988288640976 
Batch: 24 <--> Loss: 0.0537320151925087 
Batch: 25 <--> Loss: 0.05139289051294327 
Batch: 26 <--> Loss: 0.05417625978589058 
Batch: 27 <--> Loss: 0.05153249576687813 
Batch: 28 <--> Loss: 0.04956964775919914 
Batch: 29 <--> Loss: 0.04818610101938248 
Batch: 30 <--> Loss: 0.05201776698231697 
Batch: 31 <--> Loss: 0.04671651870012283 
Batch: 32 <--> Loss: 0.04923446476459503 
Batch: 33 <--> Loss: 0.04404672607779503 
Batch: 34 <--> Loss: 0.047246284782886505 
Batch: 35 <--> Loss: 0.053409602493047714 
Batch: 36 <--> Loss: 0.042620185762643814 
Batch: 37 <--> Loss: 0.04012718424201012 
Epoc: 3Epoch: 2 
Batch: 1 <--> Loss: 0.04676411300897598 
Batch: 2 <--> Loss: 0.0389544814825058 
Batch: 3 <--> Loss: 0.03886829689145088 
